[16.02.2026 13:23:56] [BUILD] Gracz pFld3yW__xThUE5jAAAF ZNISZCZYŁ blok w [47, 32]
[16.02.2026 13:23:57] [BUILD] Gracz pFld3yW__xThUE5jAAAF POSTAWIŁ (Typ 2) blok w [49, 30]
[16.02.2026 13:23:57] [BUILD] Gracz pFld3yW__xThUE5jAAAF ZNISZCZYŁ blok w [47, 31]
[16.02.2026 13:23:58] [BUILD] Gracz pFld3yW__xThUE5jAAAF ZNISZCZYŁ blok w [49, 30]
[16.02.2026 13:24:01] [BUILD] Gracz pFld3yW__xThUE5jAAAF POSTAWIŁ (Typ 2) blok w [20, 46]
[16.02.2026 13:24:02] [BUILD] Gracz pFld3yW__xThUE5jAAAF POSTAWIŁ (Typ 2) blok w [20, 47]
[16.02.2026 13:24:02] [BUILD] Gracz pFld3yW__xThUE5jAAAF POSTAWIŁ (Typ 2) blok w [21, 47]
[16.02.2026 13:24:02] [BUILD] Gracz pFld3yW__xThUE5jAAAF POSTAWIŁ (Typ 2) blok w [22, 47]
[16.02.2026 13:24:03] [BUILD] Gracz pFld3yW__xThUE5jAAAF POSTAWIŁ (Typ 2) blok w [22, 48]
[16.02.2026 13:24:03] [BUILD] Gracz pFld3yW__xThUE5jAAAF POSTAWIŁ (Typ 2) blok w [22, 49]
[16.02.2026 13:24:03] [BUILD] Gracz pFld3yW__xThUE5jAAAF POSTAWIŁ (Typ 2) blok w [21, 48]
[16.02.2026 13:24:04] [BUILD] Gracz pFld3yW__xThUE5jAAAF ZNISZCZYŁ blok w [22, 48]
[16.02.2026 13:24:04] [BUILD] Gracz pFld3yW__xThUE5jAAAF ZNISZCZYŁ blok w [22, 48]
[16.02.2026 13:24:04] [BUILD] Gracz pFld3yW__xThUE5jAAAF ZNISZCZYŁ blok w [22, 47]
[16.02.2026 13:24:04] [BUILD] Gracz pFld3yW__xThUE5jAAAF ZNISZCZYŁ blok w [21, 47]
[16.02.2026 13:24:05] [BUILD] Gracz pFld3yW__xThUE5jAAAF ZNISZCZYŁ blok w [20, 46]
[16.02.2026 13:24:05] [BUILD] Gracz pFld3yW__xThUE5jAAAF ZNISZCZYŁ blok w [20, 47]
[16.02.2026 13:24:06] [BUILD] Gracz pFld3yW__xThUE5jAAAF ZNISZCZYŁ blok w [21, 48]
[16.02.2026 13:24:06] [BUILD] Gracz pFld3yW__xThUE5jAAAF ZNISZCZYŁ blok w [22, 49]
[16.02.2026 13:24:12] [BUILD] Gracz pFld3yW__xThUE5jAAAF ZNISZCZYŁ blok w [2, 37]
[16.02.2026 13:24:12] [BUILD] Gracz pFld3yW__xThUE5jAAAF ZNISZCZYŁ blok w [2, 38]
[16.02.2026 13:24:12] [BUILD] Gracz pFld3yW__xThUE5jAAAF ZNISZCZYŁ blok w [1, 38]
[16.02.2026 13:24:13] [BUILD] Gracz pFld3yW__xThUE5jAAAF ZNISZCZYŁ blok w [1, 37]
[16.02.2026 13:24:13] [BUILD] Gracz pFld3yW__xThUE5jAAAF ZNISZCZYŁ blok w [0, 37]
[16.02.2026 13:24:13] [BUILD] Gracz pFld3yW__xThUE5jAAAF ZNISZCZYŁ blok w [0, 38]
[16.02.2026 13:24:14] [BUILD] Gracz pFld3yW__xThUE5jAAAF ZNISZCZYŁ blok w [-1, 37]
[16.02.2026 13:25:29] [DISCONNECT] Gracz rozłączony: pFld3yW__xThUE5jAAAF
[16.02.2026 13:25:29] [CONNECT] Gracz połączony: kVpMqoIlBQ-5gBR0AAAH (IP: ::1)
[16.02.2026 13:25:32] [BUILD] Gracz kVpMqoIlBQ-5gBR0AAAH ZNISZCZYŁ blok w [-1, 32]
[16.02.2026 13:25:32] [BUILD] Gracz kVpMqoIlBQ-5gBR0AAAH POSTAWIŁ (Typ 2) blok w [-1, 32]
